RECORD,I_dir_Avg,I_glo_Avg,I_dif_Avg,I_uv_Avg,AirTC_Avg,RH,WS_ms_Avg,CS106_PB_Avg
,,,,,,,,
,,,,,,,,
1.0,0.0,0.0,0.31,0.001,21.05,47.4,0.838,877.0593
2.0,0.0,0.0,0.158,0.0,21.04,48.7,0.813,876.9949
3.0,0.0,0.025,0.001,0.001,20.85,47.54,1.017,877.0591
4.0,0.0,0.0,0.0,0.001,21.25,48.29,1.514,877.0186
5.0,0.0,0.0,0.0,0.002,20.65,47.98,1.743,876.9619
6.0,0.0,0.0,0.0,0.004,20.23,54.22,2.566,877.0103
7.0,0.0,0.0,0.0,0.001,19.56,50.3,2.593,876.8629
8.0,0.0,0.002,0.0,0.001,19.49,53.23,2.66,876.9618
9.0,0.0,0.0,0.016,0.002,19.34,47.67,2.494,876.9128
10.0,0.0,0.0,0.0,0.005,20.3,50.54,1.769,876.9285
11.0,0.0,0.0,0.0,0.0,18.93,52.75,2.021,876.8311
12.0,0.0,0.0,0.0,0.001,19.02,50.84,1.116,876.9285
13.0,0.0,0.0,0.0,0.002,18.92,54.46,1.996,877.0842
14.0,0.0,0.0,0.004,0.001,18.72,52.65,1.925,876.9203
15.0,0.0,0.006,0.0,0.001,18.74,50.37,1.621,877.0765
16.0,0.0,0.0,0.0,0.002,18.71,54.02,1.078,877.084
17.0,0.0,0.0,0.0,0.001,18.09,55.24,0.313,877.0435
18.0,0.0,0.0,0.0,0.0,17.67,57.63,0.987,877.0672
19.0,0.0,0.0,0.076,0.0,18.01,51.12,2.485,877.0115
20.0,0.064,0.012,0.054,0.001,18.54,50.5,2.269,877.0106
21.0,0.085,0.005,0.026,0.002,18.72,54.39,1.819,876.9288
22.0,0.0,0.0,0.0,0.001,17.88,55.45,1.989,876.8794
23.0,0.0,0.0,0.0,0.001,18.04,56.71,2.183,876.8547
24.0,0.0,0.0,0.0,0.001,17.81,55.0,2.368,876.749
25.0,0.0,0.0,0.0,0.0,17.89,58.79,2.559,877.019
26.0,0.0,0.0,0.0,0.0,17.55,57.39,2.515,876.9618
27.0,0.0,0.0,0.002,0.0,17.55,55.75,2.87,877.0269
28.0,0.062,0.0,0.0,0.0,18.2,55.31,2.654,876.9121
29.0,0.286,0.0,0.0,0.0,18.5,51.18,2.459,877.1169
30.0,0.215,0.0,0.0,0.0,19.02,53.44,1.576,877.076
31.0,0.0,0.0,0.0,0.0,18.26,55.55,2.656,877.1422
32.0,0.0,0.0,0.0,0.0,18.61,53.37,1.632,877.24
33.0,0.0,0.0,0.0,0.0,18.03,58.14,0.243,877.3542
34.0,0.0,0.0,0.0,0.0,17.4,58.65,1.633,877.4201
35.0,0.0,0.0,0.001,0.0,17.63,53.81,2.09,877.6324
36.0,0.0,0.0,0.0,0.0,17.71,55.69,2.39,877.5779
37.0,0.0,0.0,0.0,0.0,17.55,55.38,2.755,877.4898
38.0,0.276,0.0,0.004,0.0,18.24,52.99,1.959,877.3716
39.0,0.178,0.0,0.0,0.001,18.35,51.56,2.349,877.5922
40.0,0.179,0.035,0.04,0.002,19.18,49.31,1.184,877.7394
41.0,0.018,0.005,0.008,0.003,18.8,53.13,1.67,877.903
