TOA5,TMIX,CR1000,53683,CR1000.Std.25,CPU:TMIX.CR1,52041,hora,,,,,,,,,
TIMESTAMP,RECORD,Temp_Avg,Temp_Max,Temp_Min,RH_Avg,RH_Max,RH_Min,WSpeed_Avg,WDir_Avg,WSpeed_Max,WSpeed_Min,Rain_Tot,Press_Avg,Rad_Avg,Rad_Max,Rad_Min
TS,RN,pC,pC,pC,%,%,%,m/s,Deg,m/s,m/s,mm,hPa,W/m^2,W/m^2,W/m^2
,,Avg,Max,Min,Avg,Max,Min,WVc,WVc,Max,Min,Tot,Avg,Avg,Max,Min
18/04/2016 09:00,1,25.75,26.67,25.27,27.7,28.96,25.15,1.949,136.9,3.06,0.73,0,842,394.9,672.3,252.8
18/04/2016 10:00,2,27.9,28.84,26.67,23.17,26.17,21.47,1.297,200.8,3.09,0.04,0,785.3,627.6,914,335.5
18/04/2016 11:00,3,28.73,29.47,27.98,21.65,22.97,20.45,1.289,188.6,3.23,0.03,0,784.4,462.6,828,295.9
18/04/2016 12:00,4,30.25,31.2,29.37,19.97,21.3,18.61,1.764,146.3,4.19,0.07,0,783.8,868,1284,325.9
18/04/2016 13:00,5,31.28,32.8,30.42,17.92,21.13,13.78,2.241,168.7,4.77,0.04,0,783.6,1047,1345,446.9
18/04/2016 14:00,6,32.28,33.27,31.67,14.27,15.54,13.13,3.143,177,6.43,0.32,0,783.9,1063,1123,771.5
18/04/2016 15:00,7,33.08,34.32,32.52,13.13,14.59,11.8,3.359,155.3,7.56,0.22,0,784.7,944,1011,878
18/04/2016 16:00,8,33.55,34.76,32.93,12.77,13.5,11.36,3.422,153.7,8.17,0.53,0,785.4,751.8,878,617.4
18/04/2016 17:00,9,33.56,34.05,32.86,13.39,14.25,12.55,3.583,141,6.65,0.62,0,785.4,387.4,616.9,124.8
19/04/2016 09:00,10,25.49,25.82,25.24,32.18,32.84,31.55,1.995,160.4,3.4,0.92,0,878,592.5,621.8,560.9
19/04/2016 10:00,11,26.37,27.45,25.54,31.2,32.91,29.71,1.855,180.2,3.57,0.08,0,792.5,738.6,840,622.7
19/04/2016 11:00,12,27.56,28.31,26.79,30.08,31.78,28.71,1.881,172.1,4.2,0.04,0,789.2,922,1000,589.5
19/04/2016 12:00,13,28.87,30.83,28.01,27.21,29.33,22.69,1.934,179.4,4.83,0.04,0,788.8,1042,1069,998
19/04/2016 13:00,14,30.19,31.17,29.03,23.85,26.47,21.81,2.103,226.1,5.45,0.08,0,784.4,1079,1101,1067
19/04/2016 14:00,15,31.24,32.19,30.86,21.39,22.79,19.76,2.236,85.3,5.48,0.19,0,783.9,1029,1067,994
19/04/2016 15:00,16,32.26,33.27,31.56,19.52,21.16,17.93,2.123,93.1,4.31,0.17,0,784.6,860,1005,230.9
19/04/2016 16:00,17,32.85,33.74,32.01,17.78,18.91,16.02,2.068,105.9,6.76,0.24,0,785.3,543.7,838,132.8
19/04/2016 17:00,18,32.4,33.24,31.9,17.07,19.69,15.31,2.162,186.7,5.37,0.36,0,784.1,236.6,445.1,103.3
19/04/2016 18:00,19,32.66,33.58,32.05,16.93,18.78,15.17,1.606,206.1,4.12,0.16,0,783.5,148.9,363.1,32.48
19/04/2016 19:00,20,28.02,32.29,20.49,35.83,70.73,16.13,3.666,191.8,19.11,0.3,4.3,783,23.15,96.5,0
19/04/2016 20:00,21,22.46,24.95,21.33,68.34,79.44,49.08,2.389,33.66,5.17,0.34,0.4,784.1,0,0,0
19/04/2016 21:00,22,24.43,25.08,23.96,48.29,54.97,41.87,3.038,46.41,7.9,0.08,0,784.3,0,0,0
19/04/2016 22:00,23,24.63,25.04,24.16,45.22,51.77,40.33,0.955,112.5,3.09,0.06,0,784,0,0,0
19/04/2016 23:00,24,24,25.15,22.49,47.47,52.89,39.18,2.161,168.3,7.14,0.03,0,783.9,0.275,2.017,0
20/04/2016 00:00,25,22.29,22.7,21.64,50.27,54.08,46.19,1.962,144.9,4.42,0.22,0,784.3,0,0,0
20/04/2016 01:00,26,22.1,22.67,21.57,51.92,55.76,47.96,1.616,359.3,3.56,0.4,0,784.6,0,0,0
20/04/2016 02:00,27,21.37,22.47,19.78,55.79,64.71,48.61,1.897,157.9,4.2,0.02,0,784.5,0.262,0.897,0
20/04/2016 03:00,28,19.73,20.12,19.23,63.46,66.59,60.87,1.835,156.2,5.19,0.42,0,784.8,0,0,0
20/04/2016 04:00,29,19.35,19.69,19,65.56,67.75,63.67,0.904,211.1,2.75,0.03,0,785.1,0,0,0
20/04/2016 05:00,30,19.35,19.52,19.14,65.78,66.77,64.56,1.386,287.8,3.54,0.17,0,785.2,0,0,0
20/04/2016 06:00,31,19.04,19.55,18.36,66.69,70.51,63.74,2.567,245.8,5.4,0.58,0,785.4,0.015,0.448,0
20/04/2016 07:00,32,17.88,18.47,17.42,75.02,79.14,69.5,1.951,196,4.4,0.31,0,785.5,7.697,25.56,0
20/04/2016 08:00,33,17.89,18.47,17.48,77.46,79.86,71.99,1.014,72.27,2.09,0.09,0,785.9,43.8,79.82,24.66
20/04/2016 09:00,34,19.11,19.66,18.33,67.16,73.28,63.85,1.58,256.5,2.97,0.19,0,785.7,198.1,308.5,80.9
20/04/2016 10:00,35,21.15,22.73,19.52,57.51,65.07,51.3,1.866,231.9,4.26,0.04,0,785,739.7,900,226.2
