TOA5,TMIX,CR1000,53683,CR1000.Std.31,CPU:TMIX.CR1,25326,hora,,,,,,,,,,
TIMESTAMP,RECORD,Temp_Avg,Temp_Max,Temp_Min,RH_Avg,RH_Max,RH_Min,WSpeed_Avg,WDir_Avg,WDir_SD,WSpeed_Max,WSpeed_Min,Rain_Tot,Press_Avg,Rad_Avg,Rad_Max,Rad_Min
TS,RN,?C,?C,?C,%,%,%,m/s,Deg,Deg,m/s,m/s,mm,hPa,W/m^2,W/m^2,W/m^2
,,Avg,Max,Min,Avg,Max,Min,WVc,WVc,WVc,Max,Min,Tot,Avg,Avg,Max,Min
01/01/2018 00:00,1,19.22,19.73,18.64,34.78,36.68,33.88,1.35,325,15.71,2.11,0.51,0,878.595,0,0,0
01/01/2018 01:00,2,18.9,19.29,18.57,35.92,38.21,35.11,1.568,340.6,29.2,2.73,0.49,0,878.8676,0,0,0
01/01/2018 02:00,3,18.52,19.53,17.65,40.06,44.41,34.94,1.042,45.48,46.42,1.79,0.03,0,878.9268,0,0,0
01/01/2018 03:00,4,17.73,18.34,17.15,41.98,44.01,39.71,2.665,352.1,6.577,3.41,1.62,0,878.8326,0,0,0
01/01/2018 04:00,5,17.27,17.83,16.54,42.66,44.35,40.12,2.269,343.3,19.47,3.46,0.62,0,878.8582,0,0,0
01/01/2018 05:00,6,16.29,16.75,15.8,44.22,45.82,42.48,2.332,345.9,14.24,4.21,0.37,0,879.0964,0,0,0
01/01/2018 06:00,7,16.56,17.23,15.87,42.11,44.69,40.2,1.53,348.1,37.35,2.81,0.17,0,879.3726,0,0,0
01/01/2018 07:00,8,16.47,17.47,14.95,42.33,48.34,38.56,2.183,342.2,15.55,3.39,0.27,0,879.9359,0,0,0
01/01/2018 08:00,9,15.68,16.58,14.71,44.98,49.26,41.08,1.377,335.6,27,2.36,0.05,0,880.626,32.05,87.8,-0.821
01/01/2018 09:00,10,18.13,20.18,16.31,37.62,42.28,31.6,1.034,344.7,57.55,2.19,0.05,0,881.2332,182.7,281.6,76.93
01/01/2018 10:00,11,20.14,20.94,19.42,33.32,38.86,31.08,1.409,178.7,28.46,3.12,0.38,0,881.6633,376.6,472.8,282
01/01/2018 11:00,12,21.08,21.71,20.62,30.52,32.37,28.18,2.198,199.4,26.15,4.28,0.27,0,881.6754,550.4,614.7,473.5
01/01/2018 12:00,13,22.64,23.98,21.44,27.05,29,24.23,2.124,175.7,30.15,4.54,0.06,0,881.2863,660.6,692.8,614.3
01/01/2018 13:00,14,24.32,25.37,23.09,23.98,26.07,21.75,1.684,186.7,54.58,4.35,0.01,0,880.3532,705.1,722.3,690.8
01/01/2018 14:00,15,25.58,26.76,24.96,21.92,23.62,19.8,1.628,146.9,58.94,3.91,0.13,0,878.8806,686.9,719.5,625.6
01/01/2018 15:00,16,26.38,27.27,25.6,20.52,21.88,19.05,1.908,194.1,57.39,4.21,0.05,0,877.6885,594.9,643.8,493.6
01/01/2018 16:00,17,26.7,27.61,26.01,19.47,20.72,18.31,1.955,174.3,31.42,4.59,0.31,0,877.0788,404.4,492.6,337
01/01/2018 17:00,18,26.71,27.3,26.09,19.58,20.69,18.34,2.172,216.3,42.57,4.67,0.39,0,876.8117,233.1,336.6,134.3
01/01/2018 18:00,19,25.64,26.39,24.84,21.2,22.8,19.87,2.144,262.1,20.52,3.46,1.01,0,876.7943,51.95,133.8,8.2
01/01/2018 19:00,20,23.46,24.91,21.85,25.64,29.17,22.4,2.697,321.3,14.57,4.88,1.38,0,876.9351,0.163,7.994,-1.64
01/01/2018 20:00,21,21.44,22.02,21.17,30.5,31.8,28.73,1.916,343.8,42.46,4.34,0.12,0,877.5228,0,0,0
01/01/2018 21:00,22,22.22,23.12,21.48,29.38,30.47,27.71,1.807,16.27,53.42,6.33,0.26,0,878.3144,0,0,0
01/01/2018 22:00,23,22.76,23.25,22.4,28.85,30.6,27.03,1.634,18.86,75.37,4.82,0.09,0,879.0042,0,0,0
01/01/2018 23:00,24,21.5,22.88,20.57,32.83,35.27,29.72,1.351,277,62.7,3.58,0.04,0,879.3015,0,0,0
02/01/2018 00:00,25,19.8,20.57,19.42,35.84,37.39,34.59,2.865,278.1,14.1,4.27,0.62,0,879.4111,0,0,0
02/01/2018 01:00,26,19.39,19.7,18.98,36.48,37.73,35.01,2.418,282.7,14.74,3.83,1.09,0,879.6859,0,0,0
02/01/2018 02:00,27,18.74,19.19,18.37,38.42,39.81,37.29,1.775,287.4,19.13,3.42,0.49,0,879.9932,0,0,0
02/01/2018 03:00,28,17.92,18.4,17.49,39.93,41.1,38.99,2.269,277.8,9.45,3.4,0.79,0,879.9542,0,0,0
02/01/2018 04:00,29,17.05,17.49,16.74,41.04,42.4,39.99,2.832,286.4,8.06,4.06,1.57,0,879.9726,0,0,0
02/01/2018 05:00,30,16.51,17.15,16,41.85,43.4,39.92,2.527,280.8,12.12,3.81,1.24,0,880.0939,0,0,0
02/01/2018 06:00,31,15.85,16.41,14.57,44.55,48.92,42.41,1.829,287.6,25.24,3.63,0.36,0,880.2601,0,0,0
02/01/2018 07:00,32,14.58,14.95,14.06,48.82,50.66,47.66,3.138,312.8,9.24,4.48,1.6,0,880.5443,0,0,0
02/01/2018 08:00,33,14.54,15.02,13.99,49.05,51.27,47.66,1.973,326.7,23.25,3.42,0.72,0,881.0624,34.3,98.7,-0.41
02/01/2018 09:00,34,17.22,19.06,14.95,42.14,47.76,36.62,0.944,3.777,83.8,2.4,0.03,0,881.8357,190.9,289.4,84.1
02/01/2018 10:00,35,18.48,18.92,18.12,37.12,39.33,34.49,2.282,213.4,28.87,4.72,0.31,0,882.4968,391.3,490.7,290.2
02/01/2018 11:00,36,19.37,20.66,18.35,34.96,38.09,32.1,2.023,208.7,42.73,4.16,0.01,0,882.3735,569.4,642.6,484.9
02/01/2018 12:00,37,20.97,22.63,19.67,31.49,34.07,28.49,1.795,209.7,57.48,4.56,0.07,0,881.3736,692.8,733,642.2
02/01/2018 13:00,38,22.57,24.11,21.36,28.88,31.31,26.37,1.909,200.8,54.23,4.54,0.14,0,880.0096,733.7,747.3,710
02/01/2018 14:00,39,23.78,24.76,22.86,26.68,28.65,24.91,1.913,185.2,52.6,5.06,0.18,0,878.3618,699.8,727.9,646.7
02/01/2018 15:00,40,24.78,25.6,23.84,24.35,26.75,22.59,1.547,137.4,72.14,3.67,0.12,0,877.0555,614.3,667.8,561.4
02/01/2018 16:00,41,25.44,26.32,24.61,22.98,24.74,21.61,1.794,227.6,48.03,3.57,0.05,0,876.1712,470,559.6,393.1
02/01/2018 17:00,42,25.58,26.39,25.06,22.19,23.24,20.93,1.206,149.1,67.92,3.26,0.05,0,875.7595,276.5,393.8,177.7
02/01/2018 18:00,43,24.85,25.95,23.88,23.79,25.42,21.95,1.89,225.4,35.12,3.74,0.1,0,875.6538,85.4,177.1,12.91
02/01/2018 19:00,44,23,23.95,22.06,26.84,29.04,25.12,2.091,279.3,20.99,3.24,0.9,0,875.6805,0.399,12.71,-1.845
02/01/2018 20:00,45,20.27,22.13,19.28,33.88,37.56,28.87,3.503,337,11.66,4.98,1.51,0,875.9399,0,0,0
02/01/2018 21:00,46,19.16,19.63,18.74,38.08,39.26,36.13,1.704,346.1,19.06,3.56,0.47,0,876.4019,0,0,0
02/01/2018 22:00,47,19.03,19.36,18.78,37.25,38.96,35.49,1.085,313.3,35.36,2.35,0.18,0,876.955,0,0,0
02/01/2018 23:00,48,18.38,19.33,17.63,40.93,43.46,35.73,2.275,11.03,44.42,4.09,0.14,0,877.5876,0,0,0
03/01/2018 00:00,49,18.04,18.55,17.6,40.9,43.25,39.34,1.849,328.3,19.55,3.16,0.69,0,877.957,0,0,0
03/01/2018 01:00,50,17.41,17.8,16.98,40.17,41.08,39.41,2.068,327.2,16.06,2.92,0.99,0,878.2314,0,0,0
03/01/2018 02:00,51,16.28,17.26,15.42,43.12,46.4,40.12,2.935,347.7,6.946,3.91,1.32,0,878.2827,0,0,0
