TOA5,TMIX,CR1000,53683,CR1000.Std.31,CPU:TMIX.CR1,25326,hora,,,,,,,,,,
TIMESTAMP,RECORD,Temp_Avg,Temp_Max,Temp_Min,RH_Avg,RH_Max,RH_Min,WSpeed_Avg,WDir_Avg,WDir_SD,WSpeed_Max,WSpeed_Min,Rain_Tot,Press_Avg,Rad_Avg,Rad_Max,Rad_Min
TS,RN,pC,pC,pC,%,%,%,m/s,Deg,Deg,m/s,m/s,mm,hPa,W/m^2,W/m^2,W/m^2
,,Avg,Max,Min,Avg,Max,Min,WVc,WVc,WVc,Max,Min,Tot,Avg,Avg,Max,Min
01/01/2019 00:00,1,18.16,18.65,17.36,47.86,50.51,44.86,1.632,348,33.28,3.31,0.15,0,874.6984,0,0,0
01/01/2019 01:00,2,17.87,18.52,17.2,47.34,49.16,44.69,0.925,317.9,60.44,2.34,0.05,0,874.2407,0,0,0
01/01/2019 02:00,3,17.25,17.71,16.79,49.75,52.09,47.35,1.699,303.9,26.31,3.06,0.58,0,874.173,0,0,0
01/01/2019 03:00,4,16.27,17.26,15.42,51.11,56.31,42.85,1.343,18.23,30.85,2.83,0.24,0,873.9673,0,0,0
01/01/2019 04:00,5,16.4,17.23,15.53,43.86,47.93,39.62,1.648,13.35,23.94,2.61,0.58,0,873.6721,0,0,0
01/01/2019 05:00,6,16.02,16.79,15.08,44.17,47.86,41.63,1.76,339.7,20.22,3.48,0.15,0,873.7101,0,0,0
01/01/2019 06:00,7,14.93,16.17,13.72,49.69,55.08,43.94,1.995,358.7,24.28,4.63,0.33,0,873.7958,0,0,0
01/01/2019 07:00,8,14.82,15.39,14.23,49.44,52.5,45.68,2.569,349.2,20.64,4.45,0.09,0,874.2162,0,0,0
01/01/2019 08:00,9,15.13,16.28,14.54,46.81,49.7,44.05,1.286,306,22.43,2.35,0.42,0,875.1476,38.22,102.6,-0.41
01/01/2019 09:00,10,18.28,19.88,16.18,37.51,44.09,33.58,0.749,207.4,61.59,1.72,0.02,0,875.8967,216.7,329.9,74.9
01/01/2019 10:00,11,20.04,20.34,19.68,37.92,40.89,33.31,1.615,181.7,21.52,3.46,0.14,0,876.6427,432.7,541.4,330.5
01/01/2019 11:00,12,21.28,22.25,19.81,38.34,41.22,34.28,2.126,176.2,26.35,4.64,0.44,0,876.815,627.9,709.5,542
01/01/2019 12:00,13,23.14,24.02,22.08,26.67,36.49,20.05,2.457,193.1,25.78,5.17,0.64,0,875.8351,754,790.8,702.3
01/01/2019 13:00,14,24.63,25.41,23.75,21.16,24.57,17.63,2.264,161.8,42.86,4.98,0.17,0,874.3404,809,873,732.6
01/01/2019 14:00,15,25.75,26.87,24.76,16.54,18.85,14.5,1.807,182.2,61.87,4.11,0.07,0,873.1812,659.9,903,247
01/01/2019 15:00,16,26.99,27.76,26.36,14.3,15.45,13.31,1.199,353.6,92.4,3.06,0.03,0,872.5245,603.8,734.3,350.9
01/01/2019 16:00,17,27.32,28.61,26.59,14.54,15.59,13.37,1.758,217.9,58.64,3.95,0.12,0,872.0525,529.8,672,422.3
01/01/2019 17:00,18,27.86,28.67,27.24,14.1,14.77,13.41,1.571,212.2,51.93,4.3,0.11,0,872.1412,286.7,472.1,144.7
01/01/2019 18:00,19,26.78,28.06,25.59,15,18.85,13.95,1.53,235.9,33.2,3.23,0.08,0,872.4089,73.86,151.5,7.997
01/01/2019 19:00,20,23.6,25.69,20.9,20.82,27.71,15.59,3.156,292.2,36.04,5.38,1.34,0,872.8386,0.036,7.791,-1.846
01/01/2019 20:00,21,20.17,21,19.66,29.25,30.34,27.44,2.412,352.5,10.18,5.36,0.82,0,873.3328,0,0,0
01/01/2019 21:00,22,19.64,20.14,18.91,29.57,31.87,27.45,1.506,342.9,13.61,2.8,0.4,0,873.6757,0,0,0
01/01/2019 22:00,23,19.8,20.15,19.4,27.54,29.43,25.92,1.261,335.3,20.83,1.98,0.26,0,873.9251,0,0,0
01/01/2019 23:00,24,19.72,20.42,18.92,27.2,29.94,25.48,1.304,13.88,35.99,2.85,0.14,0,874.1708,0,0,0
02/01/2019 00:00,25,19.35,20.12,18.21,27.85,30.76,25.27,1.58,343.7,24.76,3.04,0.09,0,874.4704,0,0,0
02/01/2019 01:00,26,17.96,18.65,17.15,31.19,33.79,29.26,2.375,335,10.97,3.64,1.28,0,874.7134,0,0,0
02/01/2019 02:00,27,17.06,17.74,16.58,34.35,36.59,32.29,1.778,347,15.61,2.87,0.39,0,874.9156,0,0,0
02/01/2019 03:00,28,16.6,17.71,16,36.35,39.24,32.23,2.695,346.6,12.1,4.71,0.39,0,874.9905,0,0,0
02/01/2019 04:00,29,15.89,16.52,15.32,39.17,41.42,36.25,2.431,349.7,9.8,3.79,1.15,0,874.8884,0,0,0
02/01/2019 05:00,30,15.1,15.49,14.54,42.4,44.59,40.54,2.158,349.3,14.45,3.25,0.59,0,875.2256,0,0,0
02/01/2019 06:00,31,14.72,15.42,13.97,44.17,47.42,41.22,1.97,344.7,11.75,2.98,0.91,0,875.6555,0,0,0
02/01/2019 07:00,32,14.56,15.23,13.8,45.33,48.62,42.45,2.593,343.5,9.77,4.11,1.04,0,876.4463,0,0,0
02/01/2019 08:00,33,14.67,15.37,13.83,46.27,48.45,44.95,1.823,12.53,30.79,2.51,0.61,0,877.1295,36.77,100.8,0
02/01/2019 09:00,34,17.8,19.75,15.36,40.95,45.48,35.87,1.147,275.8,83.1,2.56,0.02,0,877.1459,217.7,334.4,77.15
02/01/2019 10:00,35,19.73,20.36,19.36,33.57,38.04,30.88,1.962,185.7,23.29,3.68,0.09,0,877.4364,429.8,566.2,335
02/01/2019 11:00,36,20.77,22.36,19.85,31.96,34.01,29.58,1.944,197.2,28.77,3.64,0.33,0,877.9096,562.2,719.1,351.3
02/01/2019 12:00,37,22.22,23,21.81,30.35,32.06,28.25,1.934,193.7,29.56,3.95,0.21,0,877.1261,571.2,799.9,399.3
02/01/2019 13:00,38,22.94,24.77,21.84,29.36,31.93,26.07,1.694,193.8,49.63,3.65,0.2,0,875.6675,519.6,906,331.6
02/01/2019 14:00,39,23.73,24.3,23.04,27.23,29.34,25.46,1.283,207.8,45.28,2.74,0.08,0,874.3295,435,693.9,330.3
02/01/2019 15:00,40,24.12,24.77,23.78,25.65,27.67,24.4,0.9,142.7,69.2,2.62,0.03,0,873.333,276.1,441.7,222.9
02/01/2019 16:00,41,24.82,25.93,24.02,25.06,26.85,22.77,0.823,140.1,56.5,2.2,0.03,0,872.7041,297.1,543,169.8
02/01/2019 17:00,42,25.02,25.83,24.36,24,25.66,22.29,0.923,180.3,28.67,2.16,0.05,0,872.774,209.7,461.2,74.43
