TOA5,TMIX-CR1000,CR1000,53683,CR1000.Std.31,CPU:TMIX.CR1,28658,Hora,,,,,,,,,,
TIMESTAMP,RECORD,Temp_Avg,Temp_Max,Temp_Min,RH_Avg,RH_Max,RH_Min,WSpeed_Avg,WDir_Avg,WDir_SD,WSpeed_Max,WSpeed_Min,Rain_Tot,Press_Avg,Rad_Avg,Rad_Max,Rad_Min
TS,RN,?C,?C,?C,%,%,%,m/s,Deg,Deg,m/s,m/s,mm,hPa,W/m^2,W/m^2,W/m^2
,,Avg,Max,Min,Avg,Max,Min,WVc,WVc,WVc,Max,Min,Tot,Avg,Avg,Max,Min
,,,,,,,,,,,,,,,,,
01/01/2021 00:00,1,15.38,15.7,15.12,40.41,42.35,37.49,2.343,330.1,14.83,3.91,0.54,0,874.726,0,0,0
01/01/2021 01:00,2,15.26,15.85,14.46,39.04,42.02,36.8,1.364,328,26.51,3.58,0.15,0,874.584,0,0,0
01/01/2021 02:00,3,13.85,14.56,13.22,44.78,47.03,42.09,1.6,325.9,11.04,2.17,0.64,0,874.4066,0,0,0
01/01/2021 03:00,4,13.65,14.18,13.03,47.81,50.23,45.73,1.555,329.9,9.68,2.66,0.53,0,874.202,0,0,0
01/01/2021 04:00,5,12.7,13.09,12.36,52.29,53.41,50.33,2.2,328.7,8.67,3.5,0.51,0,874.2062,0,0,0
01/01/2021 05:00,6,12.7,13.19,12.14,53.38,56.41,50.92,1.697,305.6,21.96,2.58,0.36,0,874.6589,0,0,0
01/01/2021 06:00,7,12.07,12.87,11.34,57.38,59.66,54.92,1.748,338.4,14.36,3.04,0.6,0,875.2317,0,0,0
01/01/2021 07:00,8,11.51,11.97,10.53,58.92,62.49,57.58,1.215,299.4,18.45,2.35,0.29,0,875.7695,0,0,0
01/01/2021 08:00,9,11.22,12.73,10.58,59.99,62.45,54.41,2.099,324,11.36,3.63,0.68,0,876.3781,44.76,130.6,-0.616
01/01/2021 09:00,10,14.84,16.94,12.63,47.23,54.24,38.4,0.907,337,27.99,2.3,0.02,0,877.3167,242.1,357.3,131.2
01/01/2021 10:00,11,18.35,19.66,16.78,37.03,39.01,34.47,1.026,85.4,91.9,2.71,0.05,0,878.0474,467.3,571.5,357.5
01/01/2021 11:00,12,19.29,20.19,18.69,39.15,40.38,37.19,1.624,152.5,45.85,3.51,0.14,0,877.9529,656.7,733.6,572.1
01/01/2021 12:00,13,20.13,21.09,19.43,37.5,39.43,33.77,2.239,171.2,36,5.15,0.26,0,877.4548,777.4,821,733.6
01/01/2021 13:00,14,21.87,22.93,21.04,29.65,34.14,26.14,1.858,176.3,61.65,3.98,0.05,0,876.5919,841,869,811
01/01/2021 14:00,15,23.6,24.64,22.26,24.7,29.03,22.26,2.026,160.2,55.45,4.51,0.21,0,875.6019,824,844,792.4
01/01/2021 15:00,16,24.15,25.31,23.17,21.84,23.15,20.15,2.174,119.7,40.42,4.52,0.13,0,874.8452,732.9,791.6,664
01/01/2021 16:00,17,25.07,26.45,24.21,19.99,22.19,18.38,2.3,154.6,44.74,5.28,0.22,0,874.5564,569.7,663.8,470.4
01/01/2021 17:00,18,25.2,26.12,24.55,19.81,21.17,18.72,2.201,169.4,29.1,5.1,0.33,0,874.6342,352.5,469.6,233.6
01/01/2021 18:00,19,24.71,25.45,23.79,22.34,24.51,20.32,2.017,182.3,17.49,3.98,0.64,0,874.9089,117.4,233.2,16.61
01/01/2021 19:00,20,22.53,23.98,20.5,27.41,32.49,24.58,0.9,214.6,96.8,2.31,0.03,0,875.24,0.276,16,-2.462
01/01/2021 20:00,21,18.99,20.74,17.8,34.17,36.24,31.06,3.011,327.2,8.47,4.6,1.09,0,875.8351,0,0,0
01/01/2021 21:00,22,18,18.15,17.77,34.98,35.73,34.34,2.308,338.7,11.42,3.76,0.73,0,876.4688,0,0,0
01/01/2021 22:00,23,17.98,18.34,17.72,34.51,34.88,34.03,2.002,337.6,9.22,3.06,1.01,0,876.8839,0,0,0
01/01/2021 23:00,24,17.69,17.96,16.96,35.04,37,34.2,1.951,323.9,29.53,3.52,0.45,0,877.0519,0,0,0
02/01/2021 00:00,25,16.77,17.36,16.39,36.55,37.88,34.82,1.564,291.8,16.54,2.85,0.55,0,877.3259,0,0,0
02/01/2021 01:00,26,16.19,17.69,14.65,38.41,43.45,34,2.004,326,10.67,2.89,0.58,0,877.2792,0,0,0
02/01/2021 02:00,27,14.92,15.51,14.32,43.24,45.08,41.51,1.607,323.5,18.36,2.98,0.18,0,877.2874,0,0,0
02/01/2021 03:00,28,14.65,15.13,14.03,44.91,47.37,43.52,2.282,337.4,15.35,3.01,0.94,0,877.0434,0,0,0
02/01/2021 04:00,29,13.56,14.27,12.94,49.19,51.18,47.1,2.364,325.1,9.56,3.87,1.54,0,876.9517,0,0,0
02/01/2021 05:00,30,13.15,13.7,12.7,50.43,51.97,47.98,2.97,323.4,6.752,3.91,1.7,0,877.2532,0,0,0
02/01/2021 06:00,31,12.71,13.8,11.9,51.16,54.19,47.2,2.116,329.5,11.19,3.36,0.88,0,877.6676,0,0,0
02/01/2021 07:00,32,12.21,12.91,11.67,53.61,55.49,50.68,2.465,324.7,7.373,3.5,1.55,0,878.1757,0,0,0
02/01/2021 08:00,33,12.15,13.25,11.29,53.77,56.76,48.98,2.092,320.9,7.546,3.11,1.32,0,878.8929,43.34,127.3,-0.411
02/01/2021 09:00,34,15.72,17.2,13.15,41.98,49.15,38.16,0.979,254.4,72.45,1.85,0.04,0,879.4642,236.9,353.8,127.9
02/01/2021 10:00,35,17.84,18.64,16.87,37.91,40.03,35.29,1.521,155.5,20.55,2.69,0.28,0,879.8356,464,565.8,354.6
02/01/2021 11:00,36,19.27,20.63,18.12,34.2,38.89,30.3,1.723,155.7,29.54,3.51,0.29,0,879.7779,656.8,730.3,566.8
02/01/2021 12:00,37,21.38,22.23,20.2,30.41,31.87,29.21,2.163,175.3,41.56,4.39,0.55,0,878.9922,778.2,820,730.9
02/01/2021 13:00,38,23.26,24.59,21.89,28.05,30.91,25.39,1.917,150.2,50.45,3.82,0.22,0,877.778,842,858,817
02/01/2021 14:00,39,24.49,25.69,23.21,23.12,27.09,19.3,1.996,154.4,63.32,4.84,0.12,0,876.6357,830,853,797.7
02/01/2021 15:00,40,26.03,27.31,24.79,17.18,20.86,13.78,1.587,172.9,47.92,4.02,0.07,0,875.7438,737.4,796.5,659.9
02/01/2021 16:00,41,27.2,27.82,26.59,15.02,16.06,14.23,1.684,189.2,63.67,3.54,0.19,0,875.0939,571.8,659.5,470.8
02/01/2021 17:00,42,27.15,28.54,26.35,15.36,17.09,13.89,1.526,123.5,40,3.13,0.19,0,874.9409,355.7,470.8,242.4
02/01/2021 18:00,43,26.27,27.6,25.07,17.19,19.84,15.18,1.618,135,17.75,3.1,0.44,0,875.0986,122.8,241.6,20.1
02/01/2021 19:00,44,23.53,25.12,21.31,20.76,25.54,18.59,1.068,208.3,90.1,3.28,0.02,0,875.3492,0.239,19.48,-2.462
02/01/2021 20:00,45,19.83,21.36,18.85,28.7,30.55,25.47,3.253,324,8.21,4.38,1.5,0,875.8357,0,0,0
02/01/2021 21:00,46,19.01,19.28,18.72,30.82,31.61,30.18,2.173,328.1,13.56,3.47,1.03,0,876.3906,0,0,0
02/01/2021 22:00,47,18.12,19.01,17.48,32.58,33.76,30.73,2.193,322,24.38,3.28,0.25,0,876.7977,0,0,0
02/01/2021 23:00,48,17.5,18.44,16.77,32.04,33.86,30.8,2.149,315.1,11.99,3.08,1,0,877.2502,0,0,0
03/01/2021 00:00,49,16.82,17.31,16.26,33.3,34.44,32.09,1.761,313.2,31.25,3.52,0.09,0,877.4858,0,0,0
03/01/2021 01:00,50,15.9,16.94,15.13,35.02,36.87,32.37,2.823,321.4,9.06,4.13,0.99,0,877.6416,0,0,0
03/01/2021 02:00,51,15.32,16.04,14.94,36.11,37.01,34.28,2.948,330.1,4.397,3.72,1.72,0,877.7528,0,0,0
