TOA5,TMIX-CR1000,CR1000,53683,CR1000.Std.31,CPU:TMIX.CR1,28658,Hora,,,,,,,,,,
TIMESTAMP,RECORD,Temp_Avg,Temp_Max,Temp_Min,RH_Avg,RH_Max,RH_Min,WSpeed_Avg,WDir_Avg,WDir_SD,WSpeed_Max,WSpeed_Min,Rain_Tot,Press_Avg,Rad_Avg,Rad_Max,Rad_Min
TS,RN,°C,°C,°C,%,%,%,m/s,Deg,Deg,m/s,m/s,mm,hPa,W/m^2,W/m^2,W/m^2
,,Avg,Max,Min,Avg,Max,Min,WVc,WVc,WVc,Max,Min,Tot,Avg,Avg,Max,Min
01/01/2024 00:00,1,16.85,17.13,16.51,53.78,54.73,52.82,1.645,317.2,52.06,3.65,0,0,879.1094,0,0,0
01/01/2024 01:00,2,16.46,17.42,15.27,55.1,59.6,51.97,1.655,315.1,20.89,3.35,0,0,879.1669,0,0,0
01/01/2024 02:00,3,15.14,15.89,14.41,60.39,62.87,57.83,2.273,330.7,7.603,2.975,1.25,0,878.8386,0,0,0
01/01/2024 03:00,4,15.33,16.28,14.61,58.37,61.75,54.01,2.088,326,14.39,3.575,0,0,878.4932,0,0,0
01/01/2024 04:00,5,14.91,16.18,13.8,59.52,63.76,54.35,1.059,321,14.01,3.05,0,0,878.6451,0,0,0
01/01/2024 05:00,6,13.92,14.37,13.42,63.45,64.96,62.12,2.263,328.9,9.98,3.275,1.475,0,878.7656,0,0,0
01/01/2024 06:00,7,13.68,14.29,13.19,63.44,64.72,61.65,2.601,322.8,9.88,3.65,1.325,0,879.0759,0,0,0
01/01/2024 07:00,8,13.28,13.62,12.91,64.28,65.58,62.48,1.546,319.5,8.34,3.2,0,0,879.478,0,0,0
01/01/2024 08:00,9,13.63,14.4,13.02,62.11,64.43,58.6,1.245,296,10.13,1.925,0,0,880.2462,49.79,141.2,2.258
01/01/2024 09:00,10,16.51,18.54,14.39,49.08,58.53,42.97,0.069,317.2,5.203,1.1,0,0,881.0454,250.8,371.5,110
01/01/2024 10:00,11,19.13,19.95,18.4,45.96,48.78,41.46,0.637,154.1,27.13,2.45,0,0,881.3344,490.9,609.4,371.9
01/01/2024 11:00,12,20.1,21.03,19.23,44.98,47.65,42.87,1.696,175.9,30.89,3.725,0,0,881.3193,692.7,768.5,609.4
01/01/2024 12:00,13,21.77,22.91,20.69,41.41,44.61,38.82,1.336,142,44.7,3.8,0,0,880.7146,802,840,731.1
01/01/2024 13:00,14,23.1,24.47,22.1,37.33,39.83,33.64,1.484,120.8,51.72,3.725,0,0,879.6857,846,861,828
01/01/2024 14:00,15,24.19,25.66,23.18,31.95,34.62,29.41,1.539,141.7,54.92,3.125,0,0,878.548,831,861,783.2
01/01/2024 15:00,16,25.33,26.26,23.98,30.32,33.02,28.25,1.26,196.4,51.72,3.875,0,0,877.4542,725.4,783.2,645.8
01/01/2024 16:00,17,25.99,27.22,25.12,28.7,30.7,26.38,1.137,95.8,83.3,3.275,0,0,876.8244,551.2,645.4,455.4
01/01/2024 17:00,18,26.6,27.5,25.83,26.77,28.56,24.92,0.717,182.5,56.02,2.825,0,0,876.5447,344.1,454.6,226.1
01/01/2024 18:00,19,26.25,27.56,24.96,25.47,26.97,24.1,1.23,166.3,22.11,2.9,0,0,876.7249,117.2,225.4,15.18
01/01/2024 19:00,20,23.63,25.15,21.75,30.79,35.35,26.83,1.484,54.23,77.09,3.125,0.575,0,876.8796,0.891,14.77,-2.257
01/01/2024 20:00,21,20.07,21.99,19.06,40.98,43.67,35.32,2.471,318.7,11.53,4.55,0.275,0,877.4046,0,0,0
01/01/2024 21:00,22,18.78,19.58,18.25,44.29,45.51,42.41,1.852,320,8.24,2.9,0,0,878.0039,0,0,0
01/01/2024 22:00,23,18.2,18.63,17.4,44.99,49.27,43.31,1.685,310,26.81,2.825,0,0,878.3463,0,0,0
01/01/2024 23:00,24,17.51,18.27,16.84,46.81,48.73,44.13,2.37,327,7.415,3.5,1.4,0,878.455,0,0,0
02/01/2024 00:00,25,16.86,17.42,15.75,48.2,53.09,44.78,2.09,299.8,44.58,4.175,0,0,878.3824,0,0,0
02/01/2024 01:00,26,16.9,17.61,15.89,45.91,49.11,43.55,1.873,311.2,20.9,3.125,0,0,878.5648,0,0,0
02/01/2024 02:00,27,15.32,16.04,14.7,51.12,52.68,49.24,2.844,321.4,8.34,3.5,1.625,0,878.5032,0,0,0
02/01/2024 03:00,28,14.83,15.47,14.41,53,54.56,50.88,1.885,329.6,9.46,2.9,0,0,878.2628,0,0,0
02/01/2024 04:00,29,15.24,15.7,14.7,52.17,53.6,50.64,1.603,318.6,9.53,2.6,0.875,0,878.2397,0,0,0
02/01/2024 05:00,30,14.41,15.08,13.56,56.06,59.3,53.26,2.835,315.3,16.03,4.775,0.95,0,878.545,0,0,0
02/01/2024 06:00,31,13.77,14.56,13.24,59.41,61.83,55.82,2.173,318.1,11.6,3.125,0,0,878.9404,0,0,0
02/01/2024 07:00,32,14,14.58,13.38,60.12,61.49,58.86,1.731,331.5,9.38,3.275,0,0,879.3574,0,0,0
02/01/2024 08:00,33,14.14,14.9,13.48,62.27,64.21,59.34,2.002,323.6,10.99,3.05,0.95,0,879.6969,51.1,173.7,2.258
02/01/2024 09:00,34,17.42,19.04,14.9,52.13,59.3,45.85,0.61,203,51.49,1.775,0,0,880.4794,273.5,480.2,108.8
02/01/2024 10:00,35,19.51,20.37,18.82,45.97,48.34,44.35,1.056,146.3,23.27,2.45,0,0,880.838,479.8,745.2,162.5
02/01/2024 11:00,36,20.76,21.84,19.89,42.78,45.47,40.39,1.738,160.6,34.48,3.425,0,0,880.5242,720.2,1121,227.3
02/01/2024 12:00,37,21.96,23.39,21.07,41.75,43.99,38.58,1.351,175.2,41.11,3.2,0,0,879.8088,712.7,1237,412.7
02/01/2024 13:00,38,23.54,25.14,22.72,36.94,39.33,33.23,1.39,147.8,68.05,3.425,0,0,878.528,764.2,1209,460.7
02/01/2024 14:00,39,24.38,25.23,23.52,34.15,35.74,32.07,1.923,138.8,44.67,5.15,0,0,877.0607,742.3,1150,315.5
02/01/2024 15:00,40,25.31,26.51,24.31,30.96,33.22,27.81,2.819,171.5,62.25,6.875,0,0,875.9294,706.8,1023,288.8
02/01/2024 16:00,41,24.93,25.65,24.44,31.44,33.95,28.87,3.534,208.5,22.93,6.8,0.65,0,875.4799,299.7,799.6,219.5
02/01/2024 17:00,42,24.74,25.17,24.35,32.62,34.19,31.26,2.671,170.9,27.02,4.7,0.875,0,875.3766,214.6,557.4,83.7
02/01/2024 18:00,43,24.73,25.36,24.36,31.81,33.24,30.95,1.249,210,48.05,3.05,0,0,875.5439,79.01,234.7,18.87
02/01/2024 19:00,44,23.34,24.6,21.76,36.5,42.03,31.77,0.557,310.2,33.72,2.375,0,0,875.7733,0.186,18.05,-2.257
02/01/2024 20:00,45,20.53,22,19.68,45.76,48.51,41.28,2.59,322.1,15.71,3.8,1.025,0,876.3013,0,0,0
02/01/2024 21:00,46,19.27,19.96,18.67,49.63,51.61,47.76,1.653,327.7,11.22,3.05,0,0,876.845,0,0,0
02/01/2024 22:00,47,18.99,19.53,18.2,50.05,52.5,48.27,1.207,308.6,21.61,2.9,0,0,877.1409,0,0,0
02/01/2024 23:00,48,18.32,18.83,17.77,52.19,54.1,50.28,1.118,324.9,13.26,2.525,0,0,877.281,0,0,0
03/01/2024 00:00,49,17.94,18.64,17.36,53.24,55.54,50.56,1.36,307.7,15.5,2.6,0,0,877.3596,0,0,0
03/01/2024 01:00,50,16.99,17.88,16.08,57.13,60.18,53.7,1.488,333,14.73,3.05,0,0,877.3771,0,0,0
03/01/2024 02:00,51,16.78,17.37,16.13,57.41,59.53,55.31,2.597,325.8,10.26,3.5,1.25,0,877.3713,0,0,0
03/01/2024 03:00,52,16.35,17.04,15.61,58.32,60.96,56.4,2.198,326.8,5.747,3.05,1.1,0,877.2169,0,0,0
